"","sampleID","NO3N","NH4N","Ca","Mg","K","P","Fe","Mn","Cu","Zn","B","S","Pb","Al","Cd","Na","block","fence","plot","treatment","treatmentFull","meanRedox","meanNutrient"
"11",11,1.38,11.8,1014.53,424.27,9.49,1.66,2359.92,8.37,0.21,5.59,1.28,20.16,0.13,74.25,0.07,14.16,"A",2,3,"c","Air Warming",1.05395608826428,0.726752266937452
"12",12,1.84,7.04,597.08,408.55,226.5,3.55,32.65,16.77,0.18,6.2,3.45,9.49,0.07,37.12,0.06,1269.36,"A",2,4,"c","Control",0.703004612464941,0.761593102217999
"13",13,1.04,9.52,800.79,339.75,10.08,12.49,2663.2,33.27,0.42,25.11,1.67,19.51,0.3,28.5,0.08,22.71,"A",2,5,"w","Air + Soil Warming",1.6619198885371,1.21836342826856
"14",14,1.04,7.64,991.17,415.65,15.08,7.27,1909.5,18.66,0.09,9.02,0.8,15.79,0.22,46.5,0.07,23.59,"A",2,6,"w","Soil Warming",1.1000619794382,0.854836157264179
"15",15,1.3,9.3,693.37,332.33,6.39,5.39,2657.44,12,0.04,4.37,1.1,15.59,0.08,17.2,0.07,13.05,"A",2,7,"w","Air + Soil Warming",1.07696734375335,0.846474169230735
"16",16,0.84,13.04,804.41,340.5,14.83,11.02,2864.66,18.19,0.17,6.87,1.28,20.2,0.17,38.3,0.09,15.42,"A",2,8,"w","Soil Warming",1.40417762862056,1.21322200946478
"17",17,0.04,11.16,843.63,326.05,18.85,2.46,2699.06,7.75,0.06,4.88,1.35,16.61,0.36,31.24,0.1,10.49,"B",3,1,"c","Air Warming",1.03241531875277,0.514898636616896
"18",18,1.26,12.58,1297.85,558.96,16.29,2.86,971.96,8.5,0.18,5.56,0.64,17.7,0.15,83.67,0.06,75.73,"B",3,2,"c","Control",0.852668849390784,0.800474717295021
"19",19,1.76,8.92,1025.25,512.6,36.65,3.35,670.68,4.01,0.09,4.11,1.25,13.61,0.22,55.38,0.03,776.65,"B",3,3,"c","Air Warming",0.562551527187522,0.797439750745914
"20",20,2.26,7.72,933.48,493.19,30.56,1.1,253.56,3.41,0.1,4.76,1.03,9.7,0.03,62.48,0.04,956.03,"B",3,4,"c","Control",0.41644978581677,0.716480294906525
"21",21,2.32,12.72,808.41,342.34,11.56,5.92,2458.86,7.5,0.14,13.11,2.16,19.57,0.21,56.87,0.08,107.31,"B",3,5,"w","Air + Soil Warming",1.06229498042754,1.16967721620124
"22",22,1.7,9.36,721.41,401.72,77.34,4.94,425.28,8.8,0.08,5.13,0.33,8.67,0.01,40.98,0.06,1391.49,"B",3,6,"w","Soil Warming",0.605920360874279,0.89320542000631
"23",23,0.7,9.72,633.03,314.47,46.55,4.6,1522.62,10.3,0.08,6.04,0.58,12.2,0.19,24.6,0.07,1058.4,"B",3,7,"w","Air + Soil Warming",0.846596735606508,0.708337836004219
"24",24,1.44,10.76,871.72,335.21,17.34,1.72,2405.06,7.7,0.06,5.13,3.25,15.76,0.19,58.98,0.07,30.74,"B",3,8,"w","Soil Warming",0.9703848425797,0.706779689522013
"25",25,3.46,13.48,243.31,177.92,92.73,0.84,14.97,1.53,0.03,2.78,0.69,4.48,0.05,14.6,0.03,2888.53,"B",4,1,"c","Air Warming",0.420242998941029,1.10248520558419
"26",26,2.98,5.86,384.13,241.41,89.44,0.63,10.05,3.77,0.03,3.7,0.1,5.31,0.09,15.23,0.02,2347.04,"B",4,2,"c","Control",0.297817734847506,0.755806708956769
"27",27,3.5,6.2,242.18,140.89,43.75,2.04,12.64,1.73,0.03,2.28,0.15,5.36,0,13.03,0.03,2621.25,"B",4,3,"c","Air Warming",0.25563407418905,0.940539832364809
"28",28,3.28,7.34,588.84,336.3,95.6,2.7,32.17,3.68,0.07,4.33,0.26,10.38,0.02,26.97,0.04,1891.34,"B",4,4,"c","Control",0.389824770465613,0.977117681334713
"29",29,1.16,14.28,648.91,301.81,13.32,3.3,2423.68,9.82,0.08,6.06,1.05,260.77,0.06,24.32,0.07,27.57,"B",4,5,"w","Air + Soil Warming",3.76018817654103,0.863907033635831
"30",30,1.64,20.92,472.58,324.34,13.16,6.44,2556.92,7.37,0.05,3.8,1.06,168.86,0.16,13.01,0.08,26.55,"B",4,6,"w","Soil Warming",2.88738995121907,1.34797455063098
"31",31,1.46,17.06,484.76,205.11,7.17,14.05,2969.6,8.94,0.04,10.17,1.53,20.2,0.18,18.59,0.08,17.86,"B",4,7,"w","Air + Soil Warming",1.28457073408449,1.62989334967725
"32",32,2.22,16.08,915.17,376.21,12.49,1.39,2315.28,16.38,0.07,8.27,1.44,17.18,0.16,29.24,0.07,18.77,"B",4,8,"w","Soil Warming",1.32254595648148,0.999987979883796
"33",33,2.82,14.08,655.05,298.55,12.64,1.94,2891.06,4.9,0.09,3.7,1.32,17.46,0.47,55.3,0.08,6.9,"C",5,1,"c","Air Warming",1.06872942993073,1.07249225323334
"34",34,2.34,6.76,770.54,400.53,35.87,3.01,682.14,3.63,0.13,4.55,0.59,12.03,0.8,71.69,0.03,882.3,"C",5,2,"c","Control",0.484466120105688,0.809681491232973
"35",35,2.98,11.44,770.43,463.98,63.23,4.66,869.58,12,0.07,7.86,0.7,12.91,0.01,71.91,0.04,689.86,"C",5,3,"c","Air Warming",0.846630530563445,1.17168294322961
"36",36,3.08,8.56,899.03,547.73,36.53,0.93,120.02,11.78,0.11,8.35,1.09,11.5,0.27,63.42,0.02,1011.66,"C",5,4,"c","Control",0.648634598201815,0.879291574473113
"37",37,2.68,11.76,521.52,243.88,18.7,14.9,3154.4,6.98,0.08,16.95,1.91,23.85,1.1,42.13,0.09,164.03,"C",5,5,"w","Air + Soil Warming",1.17063843216083,1.72140195055903
"38",38,1.76,6.8,465.47,190.65,7.62,9.11,3491.96,4.75,0.07,7.49,1.61,15.36,0.67,41.26,0.09,11.65,"C",5,6,"w","Soil Warming",0.948779825719693,1.06119284012377
"39",39,1.66,11.1,541.67,218.6,8.2,7.56,3256.3,5.82,0.07,4.93,1.31,15.18,0.35,35.21,0.09,13.35,"C",5,7,"w","Air + Soil Warming",1.04597177593059,1.09466998695855
"40",40,2.66,9.86,502.44,200.87,6,3.31,3013.48,4.96,0.07,4.21,1.39,15.13,0.14,30.13,0.09,10.4,"C",5,8,"w","Soil Warming",0.95879424897511,0.985205472260942
"41",41,2.52,7.94,530.43,208.44,14.42,6.71,4384.58,4.01,0.09,4.24,2.21,18.04,0.51,38.14,0.12,10.92,"C",6,1,"c","Air Warming",1.11386687465496,1.09421550893511
"42",42,2.48,10.92,465.86,248.66,45.69,7.71,1994.1,5.48,0.11,4.61,0.85,13.98,0.25,37.17,0.05,540.31,"C",6,2,"c","Control",0.840727186216786,1.24258404182281
"43",43,3.4,9.5,867.37,427.86,20.45,2.47,1262.34,3.2,0.09,4.52,0.56,15.43,0.26,62.75,0.04,348.45,"C",6,3,"c","Air Warming",0.660076783435934,1.05579794572355
"44",44,3.26,6.5,761.68,282.76,5.29,6.59,2740.98,8.82,0.19,4.95,1.17,17.7,0.36,85.2,0.08,5.52,"C",6,4,"c","Control",0.962658843601874,1.17108370390085
"45",45,3.2,8.96,754.84,424.8,11.14,4.17,2057.14,5.65,0.14,11.79,1.34,16.83,0.31,74.96,0.07,143.29,"C",6,5,"w","Air + Soil Warming",0.836615047097953,1.1010502300381
"46",46,3.08,6.78,467.18,260.73,24.77,9.82,1772.84,6.52,0.12,4.95,0.79,13.05,0.32,33.56,0.06,755.67,"C",6,6,"w","Soil Warming",0.723780246200316,1.33523624296962
"47",47,2.6,9.62,841.84,392.11,7.14,2.4,1707.6,17.78,0.16,7.1,0.81,16.73,0.36,86.54,0.06,1.89,"C",6,7,"w","Air + Soil Warming",1.10798659984644,0.91408617561952
"48",48,3.86,5.8,552.04,223.34,5.53,3.79,3173.74,10.76,0.05,5.86,1.5,17.5,0.38,28.12,0.08,13.28,"C",6,8,"w","Soil Warming",1.05369418649154,1.0923847959681
